ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,13,843,Sham19Y0145435,107,735,1578,665,98
1,843,1528,Sham19Y0145435,108,1,686,548,99
1,938,1523,Shamela0008620,1,859,1335,335,69
2,1,955,Sham19Y0145435,108,686,1640,789,99
2,955,1680,Sham19Y0145435,109,1,731,589,99
2,526,1151,ShamAY0037134,10,858,1486,488,93
2,81,495,Shamela0008620,1,1343,1664,246,70
2,495,664,Zaydiyya0000075,580,1193,1371,137,93
2,495,664,Zaydiyya0000295Vols,133,940,1118,137,93
3,249,1485,Sham19Y0145435,60,86,1259,922,93
3,1,794,Sham19Y0145435,109,731,1521,626,99
3,794,1485,Sham19Y0145435,110,1,693,555,99
4,1172,1422,Sham19Y0145435,29,849,1086,177,90
4,740,1422,Sham19Y0145435,51,116,776,526,96
4,1,238,Sham19Y0145435,60,1259,1514,193,92
4,238,740,Sham19Y0145435,61,1,495,392,97
4,740,890,Sham19Y0145435,72,1583,1729,114,95
4,890,1431,Sham19Y0145435,73,1,542,425,97
4,1,816,Sham19Y0145435,110,693,1526,653,97
4,816,1525,Sham19Y0145435,111,1,710,569,100
4,1172,1422,Sham19Y0145435,5402,268,516,194,99
4,1172,1422,Shamela0000894,425,539,789,194,99
4,723,1422,Shamela0004473,5487,819,1282,323,58
4,1172,1431,Shia001294Vols,5,1002,1201,150,73
5,732,948,JK008250Vols,686,66,266,144,83
5,818,948,Sham19Y0013252,11530,320,449,97,95
5,1129,1348,Sham19Y0020881,1157,866,1091,151,79
5,1339,1470,Sham19Y0145435,111,1341,1489,97,85
5,1,641,Sham19Y0145435,111,710,1350,520,100
5,575,846,Sham19Y0145435,873,1297,1568,213,100
5,846,1348,Sham19Y0145435,874,1,502,384,97
5,1094,1249,Sham19Y0145435,1352,1168,1319,112,92
5,1133,1348,ShamAY0034447,789,557,770,146,79
5,575,948,ShamAY0034815,419,890,1194,224,76
5,732,948,Shamela0001438,6837,811,1012,147,87
5,1129,1335,Shamela0002331,126,1200,1412,138,76
5,1109,1304,Shamela0009784,69,41,237,122,71
5,805,1103,Shamela0010668,29,279,447,121,51
5,1121,1304,Shamela0021723,661,1103,1290,127,82
5,724,985,Shia001370,94,1152,1436,168,73
5,732,948,Shia002265Vols,1817,340,541,149,87
6,703,1256,JK000021,2809,731,1079,103,19
6,752,1076,JK000649,25,951,1257,172,57
6,992,1227,Sham19Y0038171,2323,1148,1458,70,21
6,313,519,Sham19Y0127677,9998,24,211,131,75
6,45,1366,Sham19Y0145435,112,1,1231,884,80
6,1076,1336,Sham19Y0145435,874,498,733,162,81
6,313,746,Sham19Y0148271,1150,173,576,170,39
6,605,756,Shamela0000137,838,384,544,104,78
6,313,519,Shamela0000736,5054,443,634,134,76
6,91,1041,Shamela0001673,9809,859,1404,260,31
6,504,703,Shamela0001733,2965,1234,1443,127,74
6,519,1054,Shamela0004289,1659,154,361,121,28
6,245,746,Shamela0004445,6930,933,1322,189,38
6,519,770,Shamela0005702,138,299,601,154,62
6,541,770,Shamela0008473,4555,661,908,137,67
6,313,519,Shamela0009313,10,507,685,125,72
6,752,1083,Shamela0010480,1021,71,824,207,34
6,245,1164,Shamela0011818,157,200,1074,297,30
6,57,637,Shamela0012406,9,799,1111,101,19
6,519,726,Shamela0022579,665,850,1067,127,66
6,541,752,Shamela0025794,1121,76,295,143,78
6,319,519,Shamela0026884,555,1035,1232,129,72
6,208,943,Shia001782Vols,3776,1009,1488,207,30
7,686,873,Kraken210622021812,285,1474,1636,116,76
7,737,873,Sham19Y0017063,1402,908,1188,102,45
7,365,873,Sham19Y0020638,1360,938,1340,184,39
7,686,873,Sham19Y0122257,3083,1336,1512,118,72
7,636,1006,Sham19Y0122406,4212,14,357,202,57
7,144,1467,Sham19Y0145435,113,1,1463,1046,89
7,156,1072,ShamAY0033938,1615,31,932,300,29
7,360,636,Shamela0001673,9807,631,806,115,48
7,982,1339,Shamela0004445,6927,1215,1478,133,42
7,686,873,Shamela0008176,6863,648,838,118,72
7,686,873,Shamela0008360,820,418,594,117,72
7,290,557,Shamela0008494,25,471,745,134,46
7,970,1376,Shamela0011818,154,582,958,176,45
7,1133,1467,Shamela0013034,92,256,651,168,49
7,1173,1457,Shamela0025794,2375,269,537,163,63
7,636,873,Shia001831Vols,646,917,1176,172,78
7,1133,1396,Shia003488Vols,449,239,516,185,83
8,968,1312,JK000021,2809,34,431,214,64
8,781,962,JK000110,1330,344,539,119,69
8,23,1458,Sham19Y0145435,114,1,1248,895,72
8,962,1453,Sham19Y0145435,874,673,1206,322,74
8,305,822,ShamAY0033671,15,193,716,208,42
8,781,981,Shamela0000041,2367,390,632,120,61
8,988,1255,Shamela0008473,4554,707,942,157,73
8,988,1361,Shamela0009567,1015,469,865,187,51
8,988,1255,Shamela0025794,4323,1243,1480,154,72
8,1084,1255,Shia001782Vols,3676,1,126,100,72
8,1,404,Shia003488Vols,449,343,689,154,39
9,768,1030,JK009408,2077,1057,1310,112,50
