id,book,alignments,ch_match
EShia0071536,0363QadiNucman.TawilDacaim,1,94
EShia0086596,0363QadiNucman.ManaqibWaMathalib,46,11102
GVDB20200120,0692IbnCabdZahir.RawdZahir,2,272
JK000001,0505Ghazali.IhyaCulumDin,11,2676
JK000015,0281IbnAbiDunya.MakarimAkhlaq,7,2504
JK000021,0458Bayhaqi.ShucabIman,17,4017
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,49,10368
JK000024,0458Bayhaqi.FadailAwqat,3,1366
JK000028,0728IbnTaymiyya.Istiqama,1,164
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,3,685
JK000050,0281IbnAbiDunya.Hawatif,7,1911
JK000055,0181IbnMubarak.Zuhd,3,258
JK000075,0728IbnTaymiyya.TuhfaCiraqiyya,1,135
JK000077,0728IbnTaymiyya.ZuhdWaWarac,1,227
JK000079,0728IbnTaymiyya.AmradQulub,1,121
JK000083,0751IbnQayyimJawziyya.HadiArwah,3,501
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,3,268
JK000101,0751IbnQayyimJawziyya.SawaciqMursala,1,202
JK000110,0256Bukhari.Sahih,58,18183
JK000130,0303Nasai.SunanSughra,7,1518
JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,18,5495
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,1,186
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,18,3428
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,5,1338
JK000258,0203YahyaIbnAdam.Kharaj,4,832
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,5,761
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,2,234
JK000299,0861IbnHumam.SharhFathQadir,11,2077
JK000316,0197IbnWahbQurashi.Qadar,1,213
JK000318,0571IbnCasakir.TabyinKadhb,1,417
JK000343,0456IbnHazm.FisalFiMilal,3,630
JK000347,0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf,3,769
JK000362,0728IbnTaymiyya.DarTacarud,3,853
JK000368,0728IbnTaymiyya.Safadiyya,1,147
JK000370,0728IbnTaymiyya.SarimMaslul,24,6401
JK000371,0728IbnTaymiyya.RaddCalaMantiqiyyin,3,660
JK000374,0728IbnTaymiyya.BughyatMurtad,7,974
