id,book,alignments,ch_match
EScr20112614,0845AbuHafsSamarqandi.NaylHathith,3,525
EScr20120309,0850ShihabDinIbshihi.TadhkiratCarifin,2,336
EScr202211221604,0334Azdi.TarikhMawsil,1,178
EShia0071536,0363QadiNucman.TawilDacaim,1,113
EShia0086596,0363QadiNucman.ManaqibWaMathalib,2,506
JK000001,0505Ghazali.IhyaCulumDin,19,3911
JK000002,0281IbnAbiDunya.TawaducWaKhumul,2,380
JK000015,0281IbnAbiDunya.MakarimAkhlaq,4,949
JK000021,0458Bayhaqi.ShucabIman,98,22008
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,60,12648
JK000024,0458Bayhaqi.FadailAwqat,3,575
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,14,3675
JK000038,0281IbnAbiDunya.Manamat,1,127
JK000040,0333IbnMarwanDinawari.Qinaca,4,795
JK000042,0281IbnAbiDunya.Awliya,1,171
JK000049,0281IbnAbiDunya.Hilm,1,201
JK000055,0181IbnMubarak.Zuhd,14,3957
JK000060,0751IbnQayyimJawziyya.Fawaid,2,305
JK000076,1307Qannawji.Yaqza,4,1246
JK000077,0728IbnTaymiyya.ZuhdWaWarac,1,157
JK000083,0751IbnQayyimJawziyya.HadiArwah,5,2397
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,7,1611
JK000099,0751IbnQayyimJawziyya.Salat,1,145
JK000110,0256Bukhari.Sahih,94,26291
JK000130,0303Nasai.SunanSughra,101,23756
JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,3,295
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,2,186
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,20,3086
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,34,6956
JK000221,0597IbnJawzi.TahqiqFiAhadithKhilaf,23,4521
JK000258,0203YahyaIbnAdam.Kharaj,2,600
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,6,1193
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,4,585
JK000299,0861IbnHumam.SharhFathQadir,14,2182
JK000314,0458Bayhaqi.IthbatCadhabQabr,27,8346
JK000362,0728IbnTaymiyya.DarTacarud,1,205
JK000370,0728IbnTaymiyya.SarimMaslul,1,383
JK000381,0728IbnTaymiyya.MajmucFatawa,49,12649
JK000383BK1,0774IbnKathir.TalkhisIstighatha,4,808
JK000384,0395IbnMandaMuhammad.Iman,42,14390
JK000435,0211CabdRazzaqSancani.Tafsir,11,4606
JK000458,0982IbnMuhammadAbuSucud.IrshadCaqlSalim,1,214
JK000475,0303Nasai.SunanKubra,177,41626
JK000477,0385Daraqutni.Sunan,41,7969
JK000481,0287IbnAbiCasim.AhadWaMathani,29,5898
JK000482,0241IbnHanbal.FadailSahaba,6,1611
JK000502,0430AbuNucaymIsbahani.Ducafa,1,256
JK000508,0643DiyaDinMaqdisi.FadailBaytMaqdis,4,1451
JK000520,0369AbuShaykhIsbahani.TabaqatMuhaddithin,6,1223
JK000532,0748Dhahabi.TadhkiratHuffaz,6,987
JK000533,0852IbnHajarCasqalani.IsabaFiTamyiz,22,4210
JK000562,0287IbnAbiCasim.Jihad,3,507
JK000575,0280AbuCabbasBirti.MusnadIbnCawf,9,2044
JK000581,0845Maqrizi.MukhtasarKitabWitr,2,330
JK000588,0270IbnCaffanKufi.AmaliWaQiraa,1,89
JK000595,0343IbnSulaymanAtrabulusi.Hadith,1,172
JK000601,0218CabdAclaGhassani.Nuskha,1,177
JK000609,0852IbnHajarCasqalani.WuqufCalaMawquf,2,695
JK000624,0414AbuQasimRazi.Fawaid,13,2583
JK000631,0458Bayhaqi.QiraaKhalfaImam,1,149
JK000653,0307IbnHarunRuyani.Musnad,25,5710
JK000657,0535QawwamSunna.DalailNubuwwa,10,2917
JK000669,0303Nasai.KhasaisAmirMumininCali,2,512
JK000677,0204Shafici.SunanMathura,4,839
JK000679,0279Tirmidhi.CilalKabir,8,1473
JK000691,0307AbuYaclaMawsili.Mucjam,4,631
JK000693,0292IbnCaliMarwazi.MusnadAbiBakr,2,471
JK000698,0458Bayhaqi.Ictiqad,4,1151
JK000699,0748Dhahabi.DinarMinHadith,1,85
JK000703,0303Nasai.MajlisanMinImla,1,201
JK000717,0430AbuNucaymIsbahani.TasmiyatRuwatCanSacidIbnMansur,1,284
JK000723,0303Nasai.Wafat,2,213
JK000728,0458Bayhaqi.MadkhalIlaSunanKubra,7,1290
JK000734,0804IbnMulaqqin.KhulasatBadrMunir,1,203
JK000735,0303Nasai.CamalYawmWaLayla,19,4357
JK000761,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,4,661
JK000774,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar,1,202
JK000778,0463IbnCabdBarr.IsticabFiMacrifatAshab,25,5098
JK000784,0227IbnMansurKhurasani.TafsirMinSunanSacid,10,1921
JK000785,0211CabdRazzaqSancani.Musannaf,45,8787
JK000786,0235IbnAbiShayba.Musannaf,163,34453
JK000791,0597IbnJawzi.ZadMasir,5,853
JK000830,0379MuhammadRabci.WasayaCulama,1,305
JK000844,0301AbuBakrFaryabi.AhkamCidayn,1,168
JK000849,0458IbnSidaMursi.Mukhassas,2,280
JK000889,0301AbuBakrFaryabi.Siyam,7,1553
JK000908,0281IbnAbiDunya.ManCashaBacdaMawt,1,175
JK000910,0597IbnJawzi.Adhkiya,3,434
JK000911,0630IbnAthirCizzDin.Kamil,15,3634
JK000916,0571IbnCasakir.TarikhDimashq,252,61231
JK000917,0543IbnCarabiIshbili.AhkamQuran,7,1227
JK000918,0369AbuShaykhIsbahani.AkhlaqNabi,6,1055
JK000919,0356AbuCaliQali.AmaliFiLugha,3,752
JK000927,0362AbuFarajIsbahani.Aghani,19,5220
JK000935,0368IbnJacfarQatici.Fawaid,1,395
JK000940,0769IbnCabdAllahTaqiDinShibli.AkamMarjan,1,173
JK000977,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim,80,19436
JK000985,0806IbnHusaynZaynDinCiraqi.Taqyid,2,256
JK000990,1338TahirJazairiDimashqi.TawjihNazar,1,171
JK001012,1255Shawkani.TuhfatDhakirin,4,602
JK001039,0281IbnAbiDunya.IshrafFiManazil,3,611
JK001040,0281IbnAbiDunya.IslahMal,1,122
JK001045,0438IbnYusufJuwayni.RisalaFiIthbat,1,276
JK001081,0273HanbalIbnIshaqShaybani.Fitan,3,619
JK001095,0434IbnAhmadHarawi.Fawaid,2,509
JK001122,0246IbnCumarDuri.JuzFihiQiraat,2,644
JK001171,0327AbuBakrKharaiti.MuntaqaMinMakarim,7,1197
JK001189,0590IbnNasrJalalDinShayzari.ManhajMasluk,2,251
JK001202,0303Nasai.Nucut,1,278
JK001203,0852IbnHajarCasqalani.NuzhatSamicin,1,204
JK001226,0744IbnCabdHadi.SarimMunki,3,754
JK001227,0911Suyuti.SharhSudur,26,7584
JK001236,0745IbnMuhammadTaqiDinIbnImam.SilahMumin,15,3023
JK001241,0430AbuNucaymIsbahani.DhikrManIsmuhuShucba,1,111
JK001269,0450AbuHasanMawardi.TashilNazar,2,350
JK001277,0600CabdGhaniMaqdisi.TawhidLiLlah,1,287
JK001284,0456IbnHazm.HajjatWidac,2,295
JK001287,0369AbuShaykhIsbahani.AhadithAbiZubayr,1,95
JK001288,0458Bayhaqi.ZuhdKabir,2,319
JK001293BK1,0748Dhahabi.MizanIctidal,8,1144
JK001296,0231IbnSallamJumahi.TabaqatFuhulShucara,2,508
JK001297,0509IbnShahridarDaylami.Firdaws,3,452
JK001324,0974IbnHajarHaytami.SawaciqMuhriqa,1,76
JK001325,1315Salawi.IstiqsaLiAhkbar,2,405
JK001336,0850ShihabDinIbshihi.Mustatraf,3,506
JK001412,0896IbnCaliIbnAzraqGharnati.BadaicSilk,3,415
JK001429,0643DiyaDinMaqdisi.FadailAcmal,6,997
JK001435,0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya,2,311
JK001438,0333IbnMuhammadMadini.Juz,1,189
JK001477,0963CabdRahmanAbuFathCabbasi.MacahidTansis,2,333
JK001484,0233YahyaIbnMacin.HadithYahya,1,88
JK001487,0387IbnBattaCukbari.IbanaCanSharica,4,982
JK001493,0292Yacqubi.Tarikh,1,102
JK003501,0927Culaymi.UnsJalil,2,316
JK003504,0249Azraqi.AkhbarMakka,3,607
JK003609,0764Safadi.WafiBiWafayat,11,2017
JK005004,0911Suyuti.LaaliMasnuca,4,766
JK005005,0963IbnMuhammadIbnCiraqKanani.TanzihSharica,2,438
JK005008,0682IbnYahyaGhassani.TakhrijAhadithDicaf,5,876
JK005014,1277IbnDarwishHut.AsnaMatalib,1,121
JK005200,0743FakhrDinZaylaci.TabyinHaqaiq,2,286
JK006476,0489IbnMuhammadSamcani.TafsirQuran,4,709
JK006800,0224QasimIbnSallam.Amwal,11,2266
JK006801,0852IbnHajarCasqalani.MatalibCaliya,29,5816
JK006833,0290IbnAhmadIbnHanbal.Sunna,32,10114
JK006838,0458Bayhaqi.DalailNubuwwa,59,17418
JK006884,1206IbnCabdWahhab.AhkamTamanniMawt,2,694
JK006897,1206IbnCabdWahhab.Hadith,24,4716
JK006907,0659SadrDinBasri.Hamasa,3,368
JK006908,0609AbuCabbasJarrawi.HamasaMaghribiyya,1,69
JK006922,0328AbuBakrIbnAnbari.ZahirFiMacani,5,795
JK006950,0728IbnTaymiyya.RasailWaFatawa,7,1118
JK006983,0728IbnTaymiyya.KhilafaWaMulk,2,391
JK007001,0306Wakic.AkhbarQudat,5,836
JK007006,1031CabdRaufMunawi.TaysirBiSharh,3,461
JK007007,0197IbnWahbQurashi.JamicFiHadith,13,2446
JK007016,0310IbnAhmadDulabi.KunaWaAsma,26,4739
JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,1,115
JK007019,0344IbnSammak.Fawaid,2,443
JK007025,0564IbnCabdWahidSamarqandi.Majlis,6,1395
JK007036,0686IbnZakariyaManbiji.LubabFiJamc,6,1017
JK007040,0370AbuMansurAzhari.TahdhibLugha,10,1402
JK007049,0235IbnAbiShayba.Musnad,24,4441
JK007054,0763IbnMuflihMaqdisi.AdabSharciyya,13,2047
JK007062,0902Sakhawi.Buldaniyyat,1,222
JK007063,0597IbnJawzi.Tabsira,7,1361
JK007064,1307Qannawji.RawdaNadiyya,6,980
JK007065,0488IbnFutuhHumaydi.JamcBaynaSahihayn,110,26128
JK007074,0974IbnHajarHaytami.FatawaKubra,2,520
JK007082,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,8,1394
JK007083,0744IbnCabdHadi.MuharrirFiHadith,5,1005
JK007095,0399IbnAbiZamanaynIlbiri.Tafsir,10,2577
