level,start_ms,header,end_ms
1,1,مقدمة المصنف,65
2,3,القول في البيان عن اتفاق معاني آي القرآن ومعاني منطق من نزل بلسانه من وجه البيان والدلالة على أن ذلك من الله جل وعز هو الحكمة البالغة، مع الإبانة عن فضل المعنى الذي به باين القرآن سائر الكلام.,6
2,6,القول في البيان عن الأحرف التي اتفقت فيها ألفاظ العرب وألفاظ غيرها من بعض أجناس الأمم,11
2,11,القول في اللغة التي نزل بها القرآن من لغات العرب,38
2,38,القول في البيان عن معنى قول رسول الله صلى الله عليه وسلم: «أنزل القرآن من سبعة أبواب الجنة» ، وذكر الأخبار المروية بذلك,41
2,41,القول في الوجوه التي من قبلها يوصل إلى معرفة تأويل القرآن,44
2,44,ذكر بعض الأخبار التي رويت بالنهي عن القول في تأويل القرآن بالرأي,45
2,45,ذكر بعض الأخبار التي رويت في الحض على العلم بتفسير القرآن ومن كان يفسره من الصحابة,48
2,48,ذكر بعض الأخبار التي غلط في تأويلها منكرو القول في تأويل القرآن,52
2,52,ذكر الأخبار عن بعض السلف فيمن كان من قدماء المفسرين محمودا علمه بالتفسير ومن كان منهم مذموما علمه بذلك,54
2,54,القول في تأويل أسماء القرآن وسوره وآيه,61
2,61,القول في تأويل أسماء فاتحة الكتاب,63
2,63,القول في تأويل الاستعاذة,63
2,63,تأويل قوله: {أعوذ} [البقرة: 67],63
2,63,تأويل قوله: {من الشيطان} [آل عمران: 36],64
2,64,تأويل قوله: {الرجيم} [آل عمران: 36],65
1,65,سورة الفاتحة,116
2,65,{بسم الله الرحمن الرحيم} [الفاتحة: 1] القول في تأويل {بسم} [الفاتحة: 1],70
2,70,القول في تأويل قوله تعالى: {الله} [الفاتحة: 1] قال أبو جعفر: وأما تأويل قول الله: «الله» ، فإنه على معنى ما روي لنا عن عبد الله بن عباس: هو الذي يألهه كل شيء، ويعبده كل خلق. وذلك أن أبا كريب,72
2,72,القول في تأويل قوله تعالى: {الرحمن الرحيم} [الفاتحة: 1],78
2,78,القول في تأويل فاتحة الكتاب {الحمد لله رب العالمين} [الفاتحة: 2] قال أبو جعفر:,78
2,78,معنى {الحمد لله} [الفاتحة: 2] الشكر خالصا لله جل ثناؤه دون سائر ما يعبد من دونه، ودون كل ما برأ من خلقه، بما أنعم على عباده من النعم التي لا يحصيها العدد ولا يحيط بعددها غيره أحد، في تصحيح الآلات لطاعته، وتمكين جوارح أجسام المكلفين لأداء فرائضه، مع ما بسط لهم في,82
2,82,القول في تأويل قوله تعالى: {رب} [الفاتحة: 2],83
2,83,القول في تأويل قوله تعالى: {العالمين} [الفاتحة: 2] قال أبو جعفر: والعالمون جمع عالم، والعالم جمع لا واحد له من لفظه، كالأنام والرهط والجيش ونحو ذلك من الأسماء التي هي موضوعات على جماع لا واحد له من لفظه. والعالم اسم لأصناف الأمم، وكل صنف منها عالم، وأهل كل قرن,84
2,84,القول في تأويل قوله تعالى: {الرحمن الرحيم} [الفاتحة: 1] قال أبو جعفر: قد مضى البيان عن تأويل قوله {الرحمن الرحيم} [الفاتحة: 1] ، في تأويل {بسم الله الرحمن الرحيم} [الفاتحة: 1] ، فأغنى ذلك عن إعادته في هذا الموضع. ولم يحتج إلى الإبانة عن وجه تكرير الله ذلك في هذا الموضع، إذ كنا لا نرى أن {بسم,86
2,86,القول في تأويل قوله تعالى: (ملك يوم الدين),90
2,90,القول في تأويل قوله تعالى: {يوم الدين} [الفاتحة: 4],91
2,91,القول في تأويل قوله تعالى: {إياك نعبد وإياك نستعين} [الفاتحة: 5],92
2,92,القول في تأويل قوله تعالى: {وإياك نستعين} [الفاتحة: 5],95
2,95,القول في تأويل قوله تعالى {اهدنا الصراط المستقيم} [الفاتحة: 6],98
2,98,القول في تأويل قوله تعالى: {الصراط المستقيم} [الفاتحة: 6],101
2,101,القول في تأويل قوله تعالى: {صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين},103
2,103,القول في تأويل قوله تعالى: {غير المغضوب عليهم} [الفاتحة: 7] قال أبو جعفر: والقراء مجمعة على قراءة غير بجر الراء منها. والخفض يأتيها من وجهين: أحدهما أن يكون غير صفة للذين ونعتا لهم فتخفضها، إذ كان الذين خفضا وهي لهم نعت وصفة؛ وإنما جاز أن يكون غير نعتا لالذين،,108
2,108,القول في تأويل قوله تعالى: {ولا الضالين} [الفاتحة: 7],116
1,116,سورة البقرة,1873
2,116,القول في تأويل قوله تعالى {الم} [البقرة: 1] قال أبو جعفر: اختلفت تراجمة القرآن في تأويل قول الله تعالى ذكره: {الم} [البقرة: 1] فقال بعضهم: هو اسم من أسماء القرآن,130
2,130,القول في تأويل قوله تعالى: {ذلك الكتاب لا ريب فيه هدى للمتقين},130
2,130,قال عامة المفسرين: تأويل قول الله تعالى: {ذلك الكتاب} [البقرة: 2] هذا الكتاب,132
2,132,القول في تأويل قوله تعالى: {لا ريب فيه} [البقرة: 2] وتأويل قوله: {لا ريب فيه} [البقرة: 2] لا شك فيه،,133
2,133,القول في تأويل قوله تعالى: {هدى},135
2,135,القول في تأويل قوله تعالى: {للمتقين},137
2,137,القول في تأويل قوله تعالى. {الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون},138
2,138,القول في تأويل قوله تعالى: {بالغيب},141
2,141,القول في تأويل قوله تعالى: {ويقيمون} [البقرة: 3] إقامتها: أداؤها,142
2,142,القول في تأويل قوله تعالى: {الصلاة},142
2,142,القول في تأويل قوله تعالى: {ومما رزقناهم ينفقون} [البقرة: 3] اختلف المفسرون في تأويل ذلك، فقال بعضهم بما,143
2,143,القول في تأويل قوله تعالى: {والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون} [البقرة: 4] قد مضى البيان عن المنعوتين بهذا النعت، وأي أجناس الناس هم. غير أنا نذكر ما روي في ذلك عمن روي عنه في تأويله قول,144
2,144,القول في تأويل قوله تعالى: {وبالآخرة هم يوقنون} [البقرة: 4] قال أبو جعفر: أما الآخرة، فإنها صفة للدار، كما قال جل ثناؤه: {وإن الدار الآخرة لهي الحيوان لو كانوا يعلمون} [العنكبوت: 64] وإنما وصفت بذلك لمصيرها آخرة لأولى كانت قبلها كما تقول للرجل: أنعمت عليك مرة بعد أخرى فلم تشكر,145
2,145,القول في تأويل قوله تعالى: {أولئك على هدى من ربهم وأولئك هم المفلحون} [البقرة: 5] اختلف أهل التأويل فيمن عنى الله جل ثناؤه بقوله: {أولئك على هدى من ربهم} [البقرة: 5] فقال بعضهم: عنى بذلك أهل الصفتين المتقدمتين، أعني المؤمنين بالغيب من العرب والمؤمنين بما أنزل إلى محمد صلى الله,147
2,147,القول في تأويل قوله تعالى: {وأولئك هم المفلحون} [البقرة: 5] وتأويل قوله: {وأولئك هم المفلحون} [البقرة: 5] أي أولئك هم المنجحون المدركون ما طلبوا عند الله تعالى ذكره بأعمالهم وإيمانهم بالله وكتبه ورسله، من الفوز بالثواب، والخلود في الجنان، والنجاة مما أعد الله تبارك وتعالى,148
2,148,القول في تأويل قوله تعالى: {إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون} [البقرة: 6] اختلف أهل التأويل فيمن عنى بهذه الآية، وفيمن نزلت,151
2,151,القول في تأويل قوله تعالى: {سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون} [البقرة: 6] وتأويل {سواء} [البقرة: 6] : معتدل، مأخوذ من التساوي، كقولك: متساو هذان الأمران عندي، وهما عندي سواء؛ أي هما متعادلان عندي. ومنه قول الله جل ثناؤه: {فانبذ إليهم على سواء} [الأنفال: 58] يعني أعلمهم وآذنهم,153
2,153,القول في تأويل قوله تعالى: {ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم} [البقرة: 7] وأصل الختم: الطبع، والخاتم: هو الطابع يقال منه: ختمت الكتاب، إذا طبعته. فإن قال لنا قائل: وكيف يختم على القلوب، وإنما الختم طبع على الأوعية والظروف,155
2,155,القول في تأويل قوله تعالى: {وعلى أبصارهم غشاوة} [البقرة: 7] وقوله: {وعلى أبصارهم غشاوة} [البقرة: 7] خبر مبتدأ بعد تمام الخبر عما ختم الله جل ثناؤه عليه من جوارح الكفار الذين مضت قصصهم، وذلك أن {غشاوة} [البقرة: 7] مرفوعة بقوله: {وعلى أبصارهم} [البقرة: 7] فذلك دليل على أنه خبر مبتدأ، وأن قوله: {ختم الله,158
2,158,القول في تأويل قوله تعالى: {ولهم عذاب عظيم} [البقرة: 7] وتأويل ذلك عندي كما قاله ابن عباس وتأوله,158
2,158,القول في تأويل قوله تعالى: {ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين} [البقرة: 8] قال أبو جعفر: أما قوله: {ومن الناس} [البقرة: 8] فإن في الناس وجهين: أحدهما أن يكون جمعا لا واحد له من لفظه، وإنما واحده إنسان وواحدته إنسانة. والوجه الآخر: أن يكون أصله أناس,161
2,161,وأما تأويل قوله: {وما هم بمؤمنين} [البقرة: 8] ونفيه عنهم جل ذكره اسم الإيمان، وقد أخبر عنهم أنهم قد قالوا بألسنتهم آمنا بالله وباليوم الآخر؛ فإن ذلك من الله جل وعز تكذيب لهم فيما أخبروا عن اعتقادهم من الإيمان والإقرار بالبعث، وإعلام منه نبيه صلى الله عليه وسلم أن,161
2,161,القول في تأويل قوله تعالى. {يخادعون الله والذين آمنوا وما يخدعون إلا,164
2,164,القول في تأويل قوله تعالى: {وما يخدعون إلا أنفسهم} [البقرة: 9] إن قال لنا قائل: أوليس المنافقون قد خدعوا المؤمنين بما أظهروا بألسنتهم من قيل الحق عن أنفسهم وأموالهم وذراريهم حتى سلمت لهم دنياهم وإن كانوا قد كانوا مخدوعين في أمر آخرتهم؟ قيل: خطأ أن يقال إنهم خدعوا,165
2,165,القول في تأويل قوله تعالى: {وما يشعرون} [البقرة: 9] يعني بقوله جل,166
2,166,القول في تأويل قوله تعالى: {في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون} [البقرة: 10] وأصل المرض: السقم، ثم يقال ذلك في الأجساد والأديان فأخبر الله جل ثناؤه أن في قلوب المنافقين مرضا. وإنما عنى تبارك وتعالى بخبره عن مرض قلوبهم الخبر عن مرض ما في,167
2,167,القول في تأويل قوله تعالى : {فزادهم الله مرضا} [البقرة: 10] قد دللنا آنفا على أن تأويل المرض الذي وصف الله جل ثناؤه أنه في قلوب المنافقين: هو الشك في اعتقادات قلوبهم وأديانهم وما هم عليه، في أمر محمد رسول الله صلى الله عليه وسلم وأمر نبوته وما جاء به، مقيمون.,169
2,169,القول في تأويل قوله تعالى: {ولهم عذاب أليم} [البقرة: 10] قال أبو جعفر:,169
2,169,القول في تأويل قوله تعالى: {بما كانوا يكذبون} [البقرة: 10] اختلفت القراءة في قراءة ذلك، فقرأه بعضهم: {بما كانوا يكذبون} [البقرة: 10] مخففة الذال مفتوحة الياء، وهي قراءة معظم أهل الكوفة. وقرأه آخرون: (يكذبون) بضم الياء وتشديد الذال، وهي قراءة معظم أهل المدينة والحجاز والبصرة,172
2,172,القول في تأويل قوله تعالى: {وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون} [البقرة: 11] اختلف أهل التأويل في تأويل هذه الآية، فروي عن سلمان الفارسي أنه كان يقول: لم يجئ هؤلاء بعد,174
2,174,القول في تأويل قوله تعالى: {قالوا إنما نحن مصلحون} [البقرة: 11],175
2,175,القول في تأويل قوله تعالى: {ألا إنهم هم المفسدون ولكن لا يشعرون} [البقرة: 12],175
