id,book,alignments,ch_match
EScr20112411,0709IbnCataAllahSikandari.TanwirFiIsqatTadbir,1,161
EShia0071536,0363QadiNucman.TawilDacaim,1,147
EShia0071807,1107QadiSacidQummi.SharhTawhidSaduq,5,809
EShia0086596,0363QadiNucman.ManaqibWaMathalib,3,676
GRAR000032,0595IbnRushdHafid.TalkhisShicrLiAristutalis,1,94
JK000001,0505Ghazali.IhyaCulumDin,22,4725
JK000013,0281IbnAbiDunya.Shukr,1,129
JK000014,0281IbnAbiDunya.MaradWaKaffarat,4,885
JK000015,0281IbnAbiDunya.MakarimAkhlaq,1,113
JK000018,0281IbnAbiDunya.HusnZannBiLlah,3,543
JK000021,0458Bayhaqi.ShucabIman,161,37365
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,128,28767
JK000024,0458Bayhaqi.FadailAwqat,7,1654
JK000028,0728IbnTaymiyya.Istiqama,7,1222
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,39,9716
JK000042,0281IbnAbiDunya.Awliya,1,103
JK000050,0281IbnAbiDunya.Hawatif,1,235
JK000055,0181IbnMubarak.Zuhd,79,19341
JK000060,0751IbnQayyimJawziyya.Fawaid,4,571
JK000074,0597IbnJawzi.TadhkiraFiWacz,4,582
JK000075,0728IbnTaymiyya.TuhfaCiraqiyya,1,138
JK000076,1307Qannawji.Yaqza,30,6334
JK000077,0728IbnTaymiyya.ZuhdWaWarac,3,406
JK000079,0728IbnTaymiyya.AmradQulub,2,221
JK000083,0751IbnQayyimJawziyya.HadiArwah,62,13909
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,33,6637
JK000099,0751IbnQayyimJawziyya.Salat,8,1376
JK000101,0751IbnQayyimJawziyya.SawaciqMursala,16,2257
JK000110,0256Bukhari.Sahih,320,92790
JK000130,0303Nasai.SunanSughra,93,24603
JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,5,742
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,1,130
JK000181,0387IbnBattaCukbari.IbtalHiyal,2,273
JK000196,1118CabdHamidShirwani.Hawashi,4,660
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,97,19808
JK000213,0526IbnAbiYacla.TabaqatHanabila,2,236
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,16,3883
JK000221,0597IbnJawzi.TahqiqFiAhadithKhilaf,9,1635
JK000258,0203YahyaIbnAdam.Kharaj,2,497
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,6,1214
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,7,1696
JK000294,0521IbnMuhammadBatalyawsi.InsafFiTanbih,1,106
JK000299,0861IbnHumam.SharhFathQadir,17,3784
JK000314,0458Bayhaqi.IthbatCadhabQabr,16,4498
JK000316,0197IbnWahbQurashi.Qadar,6,1241
JK000328,0620IbnQudamaMaqdisi.HikayatMunazara,1,140
JK000329,0385Daraqutni.Sifat,6,1776
JK000340,0795IbnRajabHanbali.KalimatIkhsas,1,138
JK000347,0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf,2,349
JK000348,1206IbnCabdWahhab.MuallafatIbnCabdWahhab,1,68
JK000360,1246IbnCabdGhaniDihlawi.RisalatTawhid,5,994
JK000362,0728IbnTaymiyya.DarTacarud,29,5565
JK000368,0728IbnTaymiyya.Safadiyya,5,688
JK000370,0728IbnTaymiyya.SarimMaslul,32,7368
JK000371,0728IbnTaymiyya.RaddCalaMantiqiyyin,21,3479
JK000374,0728IbnTaymiyya.BughyatMurtad,13,2930
JK000379,0728IbnTaymiyya.QacidaFiMahabba,7,846
JK000381,0728IbnTaymiyya.MajmucFatawa,257,44969
JK000383BK1,0774IbnKathir.TalkhisIstighatha,2,208
JK000384,0395IbnMandaMuhammad.Iman,99,27262
JK000386,0728IbnTaymiyya.SharhCumdatFiqh,21,4627
JK000412,0240IbnKhayyatCusfuri.Tarikh,7,1441
JK000435,0211CabdRazzaqSancani.Tafsir,524,121711
JK000438,0444AbuCamrDani.MuhkamFiNaqtMasahif,1,98
JK000451,1033MarciKarmi.QalaidMarjan,5,584
JK000453,0444AbuCamrDani.AhrufSabca,5,1013
JK000458,0982IbnMuhammadAbuSucud.IrshadCaqlSalim,90,15890
JK000462,0468IbnAhmadWahidiNaysaburi.WajizFiTafsir,24,3340
JK000475,0303Nasai.SunanKubra,360,98309
JK000477,0385Daraqutni.Sunan,33,7356
JK000481,0287IbnAbiCasim.AhadWaMathani,33,7429
JK000482,0241IbnHanbal.FadailSahaba,9,2250
JK000497,0261AbuHasanCijli.MacrifatThiqat,1,541
JK000508,0643DiyaDinMaqdisi.FadailBaytMaqdis,1,138
JK000520,0369AbuShaykhIsbahani.TabaqatMuhaddithin,10,1909
JK000532,0748Dhahabi.TadhkiratHuffaz,10,1706
JK000533,0852IbnHajarCasqalani.IsabaFiTamyiz,49,8163
JK000539,0728IbnTaymiyya.RisalaFiMacnaKawnRabb,2,290
JK000562,0287IbnAbiCasim.Jihad,5,1129
JK000575,0280AbuCabbasBirti.MusnadIbnCawf,1,290
JK000581,0845Maqrizi.MukhtasarKitabWitr,1,273
JK000587,0395IbnMandaMuhammad.Fawaid,1,162
JK000598,0360AbuBakrAjurri.TasdiqBiNazar,6,1507
JK000602,0441IbnCaliSuri.FawaidCawali,1,171
JK000609,0852IbnHajarCasqalani.WuqufCalaMawquf,1,130
JK000620,0301AbuBakrFaryabi.DalailNubuwwa,1,409
JK000621,0310IbnAhmadDulabi.Dhariyya,1,262
JK000624,0414AbuQasimRazi.Fawaid,11,2150
JK000631,0458Bayhaqi.QiraaKhalfaImam,7,1429
JK000645,0317AbuQasimBaghawi.MusnadUsama,3,740
JK000649,0576AbuTahirSilafi.Mashyakha,1,132
JK000652,0385Daraqutni.FawaidMuntaqatDhuhli,2,489
JK000653,0307IbnHarunRuyani.Musnad,35,7668
JK000657,0535QawwamSunna.DalailNubuwwa,37,9626
JK000667,0402MuhammadSaydawi.MucjamShuyukh,1,144
JK000669,0303Nasai.KhasaisAmirMumininCali,1,363
JK000671,0620IbnQudamaMaqdisi.MutahabbinFiLlah,1,161
JK000673,0241IbnHanbal.Ashriba,1,216
JK000677,0204Shafici.SunanMathura,5,990
JK000678,0974IbnHajarHaytami.IfsahCanHadithNikah,2,303
JK000679,0279Tirmidhi.CilalKabir,4,839
JK000691,0307AbuYaclaMawsili.Mucjam,4,705
JK000693,0292IbnCaliMarwazi.MusnadAbiBakr,5,1873
JK000698,0458Bayhaqi.Ictiqad,23,5008
JK000704,0597IbnJawzi.TadhkiratArib,1,184
JK000711,0458Bayhaqi.BayanKhata,3,351
JK000728,0458Bayhaqi.MadkhalIlaSunanKubra,4,1056
JK000734,0804IbnMulaqqin.KhulasatBadrMunir,1,179
JK000735,0303Nasai.CamalYawmWaLayla,8,2033
JK000747,0303Nasai.FadailSahaba,2,433
JK000761,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,3,442
JK000774,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar,2,553
JK000778,0463IbnCabdBarr.IsticabFiMacrifatAshab,36,7112
JK000784,0227IbnMansurKhurasani.TafsirMinSunanSacid,25,3963
JK000785,0211CabdRazzaqSancani.Musannaf,162,42980
JK000786,0235IbnAbiShayba.Musannaf,309,62839
JK000787BK1,0620IbnQudamaMaqdisi.MuqnicFiFiqh,1,112
JK000791,0597IbnJawzi.ZadMasir,768,130471
JK000830,0379MuhammadRabci.WasayaCulama,3,728
JK000835,0292SacidBardhaci.Ducafa,1,221
JK000849,0458IbnSidaMursi.Mukhassas,1,144
JK000850,0243HarithMuhasibi.AdabNufus,1,139
JK000865,0817MajdDinFiruzabadi.TanwirMiqbas,4,494
JK000875,0403IbnZanjala.HujjatQiraat,20,2714
JK000889,0301AbuBakrFaryabi.Siyam,2,403
JK000894,0728IbnTaymiyya.RisalaFiQunutAshya,4,520
JK000898,0728IbnTaymiyya.RisalaFiWaIstacinuBiSabr,1,130
JK000899,0728IbnTaymiyya.RisalaFiTahqiqTawakkul,1,122
JK000902,0728IbnTaymiyya.RisalaFiRaddCalaIbnCarabi,2,338
JK000903,0728IbnTaymiyya.Tawba,2,291
JK000908,0281IbnAbiDunya.ManCashaBacdaMawt,4,1103
JK000910,0597IbnJawzi.Adhkiya,4,595
JK000911,0630IbnAthirCizzDin.Kamil,240,62635
JK000916,0571IbnCasakir.TarikhDimashq,555,151494
JK000917,0543IbnCarabiIshbili.AhkamQuran,243,51851
JK000918,0369AbuShaykhIsbahani.AkhlaqNabi,1,609
JK000919,0356AbuCaliQali.AmaliFiLugha,1,90
JK000926,1014MullaCaliQari.Adilla,6,1154
JK000927,0362AbuFarajIsbahani.Aghani,57,16458
JK000935,0368IbnJacfarQatici.Fawaid,3,830
JK000940,0769IbnCabdAllahTaqiDinShibli.AkamMarjan,52,13063
JK000942,0761IbnKaykaldiCalai.FusulMufida,1,95
JK000946,0369AbuShaykhIsbahani.AmthalFiHadith,2,465
JK000947,0320HakimTirmidhi.Amthal,3,563
JK000952,0562Samcani.Ansab,1,232
JK000966,0840IbnWazirYamani.ItharHaqq,5,528
JK000977,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim,81,18635
JK000990,1338TahirJazairiDimashqi.TawjihNazar,1,191
JK000991,0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah,1,111
JK000999,0597IbnJawzi.BustanWacizin,5,2483
JK001001,0739JalalDinQazwini.IdahFiCulumBalagha,3,306
JK001002,0761IbnKaykaldiCalai.JuzFiTafsirBaqiyat,4,825
JK001012,1255Shawkani.TuhfatDhakirin,4,898
JK001017,0956IbnMuhammadHalabiHanafi.NicmatDharica,4,566
JK001036,1255Shawkani.IrshadThiqat,7,2175
JK001039,0281IbnAbiDunya.IshrafFiManazil,4,669
JK001040,0281IbnAbiDunya.IslahMal,2,218
JK001045,0438IbnYusufJuwayni.RisalaFiIthbat,1,279
JK001046,0911Suyuti.ItmamDiraya,5,1112
JK001050,0569IbnAhmadCattarHamadhani.Futya,1,312
JK001081,0273HanbalIbnIshaqShaybani.Fitan,9,2416
JK001102,0265SalihIbnHanbal.SiratImam,1,291
JK001103,0774IbnMuhammadShamsDinIbnMawsili.HusnSuluk,1,179
JK001117,0694MuhibbDinTabari.KhulasatSiyar,1,258
